Date,Year,Pass,Site,FishNo,Species,Length,Weight,ScaleAge
10/24/13,2013,5,L19,2,RB,253,185,1
10/8/13,2013,1,L22,19,RB,356,563,2
10/7/13,2013,1,L08,2,RB,372,567,3
10/17/13,2013,0,L46,1,RB,368,564,3
10/7/13,2013,1,L20,5,RB,259,195,1
10/20/13,2013,4,L23,5,RB,212,114,1
10/16/13,2013,3,L22,10,RB,356,467,3
10/15/13,2013,3,L20,9,RB,105,12,0
10/8/13,2013,1,L27,9,RB,225,155,1
10/8/13,2013,1,L23,3,RB,235,147,1
10/7/13,2013,1,L21,2,RB,237,165,1
10/18/13,2013,0,L36,6,RB,286,291,2
10/23/13,2013,5,L24,2,RB,283,279,2
10/8/13,2013,1,L15,3,RB,257,204,1
10/20/13,2013,4,L22,14,RB,255,195,1
10/24/13,2013,5,L19,4,RB,267,210,1
10/7/13,2013,1,L16,5,RB,392,637,3
10/18/13,2013,0,L48,4,RB,233,186,1
10/16/13,2013,3,L19,5,RB,367,462,3
10/23/13,2013,5,L16,3,RB,258,213,1
10/16/13,2013,3,L27,3,RB,380,560,4
10/18/13,2013,0,L36,10,RB,225,174,1
10/11/13,2013,2,L16,1,RB,275,NA,1
10/8/13,2013,1,L26,4,RB,250,194,1
10/12/13,2013,2,L22,20,RB,288,264,2
10/11/13,2013,2,L21,6,RB,212,NA,1
10/16/13,2013,3,L22,11,RB,340,407,3
10/16/13,2013,3,L27,6,RB,241,174,1
10/18/13,2013,0,L32,6,RB,142,31,0
10/17/13,2013,0,L34,5,RB,400,721,4
10/24/13,2013,5,L22,7,RB,240,171,1
10/12/13,2013,2,L19,3,RB,400,643,3
10/24/13,2013,5,L11,10,RB,243,182,1
10/17/13,2013,0,L50,8,RB,365,445,3
10/18/13,2013,0,L49,5,RB,387,781,4
10/11/13,2013,2,L21,3,RB,367,NA,4
10/19/13,2013,4,L16,5,RB,117,18,0
10/17/13,2013,0,L50,11,RB,275,275,1
10/15/13,2013,3,L16,14,RB,153,40,0
10/17/13,2013,0,L46,4,RB,211,95,1
10/8/13,2013,1,L14,1,RB,256,203,1
10/20/13,2013,4,L07,5,RB,263,235,1
10/18/13,2013,0,L49,4,RB,441,881,5
10/8/13,2013,1,L19,14,RB,233,159,1
10/8/13,2013,1,L11,10,RB,113,23,0
10/7/13,2013,1,L05,3,RB,344,446,3
10/8/13,2013,1,L02,5,RB,228,174,1
10/18/13,2013,0,L32,3,RB,356,395,2
10/18/13,2013,0,L52,11,RB,248,191,1
10/16/13,2013,3,L27,7,RB,215,127,1
10/15/13,2013,3,L21,5,RB,227,126,1
10/8/13,2013,1,L22,15,RB,257,195,1
10/19/13,2013,4,L08,4,RB,292,280,2
10/11/13,2013,2,L28,5,RB,250,NA,1
10/23/13,2013,5,L05,2,RB,272,220,2
10/15/13,2013,3,L16,9,RB,215,121,1
10/23/13,2013,5,L25,3,RB,405,717,4
10/17/13,2013,0,L38,8,RB,248,197,1
10/18/13,2013,0,L33,10,RB,229,142,1
10/8/13,2013,1,L22,11,RB,261,217,1
10/7/13,2013,1,L01,11,RB,251,179,1
10/24/13,2013,5,L14,1,RB,380,611,3
10/18/13,2013,0,L36,7,RB,278,284,1
10/16/13,2013,3,L23,13,RB,235,135,1
10/19/13,2013,4,L21,6,RB,353,481,2
10/24/13,2013,5,L02,3,RB,321,397,2
10/8/13,2013,1,L27,6,RB,278,275,2
10/7/13,2013,1,L16,4,RB,247,190,1
10/8/13,2013,1,L02,4,RB,235,161,1
10/8/13,2013,1,L10,8,RB,265,234,1
10/12/13,2013,2,L14,2,RB,251,179,1
10/12/13,2013,2,L22,11,RB,391,650,3
10/24/13,2013,5,L15,9,RB,228,140,1
10/18/13,2013,0,L33,13,RB,220,121,1
10/7/13,2013,1,L13,2,RB,239,153,1
10/11/13,2013,2,L28,9,RB,219,NA,1
10/11/13,2013,2,L20,13,RB,227,NA,1
10/15/13,2013,3,L28,5,RB,232,148,1
10/11/13,2013,2,L28,4,RB,206,NA,1
10/7/13,2013,1,L05,4,RB,252,191,1
10/23/13,2013,5,L28,2,RB,322,405,4
10/7/13,2013,1,L08,4,RB,360,515,3
10/18/13,2013,0,L36,3,RB,357,499,3
10/17/13,2013,0,L38,4,RB,250,197,1
10/23/13,2013,5,L09,4,RB,243,183,1
10/16/13,2013,3,L23,9,RB,215,94,1
10/7/13,2013,1,L13,1,RB,313,365,2
10/24/13,2013,5,L23,3,RB,229,128,1
10/7/13,2013,1,L09,2,RB,262,223,1
10/12/13,2013,2,L22,10,RB,407,755,4
10/7/13,2013,1,L12,4,RB,245,176,1
10/8/13,2013,1,L22,4,RB,325,397,2
10/11/13,2013,2,L28,7,RB,228,NA,1
10/18/13,2013,0,L33,6,RB,226,131,1
10/16/13,2013,3,L11,5,RB,303,332,2
10/8/13,2013,1,L27,18,RB,190,91,1
10/24/13,2013,5,L15,8,RB,332,441,2
10/12/13,2013,2,L23,6,RB,250,177,1
10/7/13,2013,1,L21,6,RB,222,147,1
10/12/13,2013,2,L23,11,RB,232,133,1
10/18/13,2013,0,L49,7,RB,380,635,4
10/8/13,2013,1,L07,13,RB,115,32,0
10/8/13,2013,1,L15,7,RB,243,167,1
10/12/13,2013,2,L22,8,RB,424,712,4
10/18/13,2013,0,L33,5,RB,300,309,2
10/8/13,2013,1,L22,20,RB,231,165,1
10/17/13,2013,0,L51,7,RB,426,792,3
10/15/13,2013,3,L16,11,RB,234,154,1
10/19/13,2013,4,L28,2,RB,336,338,2
10/8/13,2013,1,L07,11,RB,333,417,3
