Date ,Time,Calispell Cr Temp C),Smalle Cr Temp C),Winchester Cr Temp (C)
1/10/10,7:01:00 AM,NA,NA,NA
1/10/10,7:01:00 PM,NA,NA,NA
1/10/10,8:01:00 AM,NA,NA,NA
1/10/10,8:01:00 PM,NA,NA,NA
1/10/10,9:01:00 AM,NA,NA,NA
1/10/10,9:01:00 PM,NA,NA,NA
1/10/11,1:01:00 AM,NA,-0.03,-0.12
1/10/11,1:01:00 PM,NA,-0.03,-0.12
1/10/11,10:01:00 AM,NA,-0.03,-0.12
1/10/11,10:01:00 PM,NA,-0.03,-0.12
1/10/11,11:01:00 AM,NA,-0.03,-0.12
1/10/11,11:01:00 PM,NA,-0.03,-0.12
1/10/11,12:01:00 AM,NA,-0.03,-0.12
1/10/11,12:01:00 PM,NA,-0.03,-0.12
1/10/11,2:01:00 AM,NA,-0.03,-0.12
1/10/11,2:01:00 PM,NA,-0.03,-0.12
1/10/11,3:01:00 AM,NA,-0.03,-0.12
1/10/11,3:01:00 PM,NA,-0.03,-0.12
1/10/11,4:01:00 AM,NA,-0.03,-0.12
1/10/11,4:01:00 PM,NA,-0.03,-0.12
1/10/11,5:01:00 AM,NA,-0.03,-0.12
1/10/11,5:01:00 PM,NA,-0.03,-0.12
1/10/11,6:01:00 AM,NA,-0.03,-0.12
1/10/11,6:01:00 PM,NA,-0.03,-0.12
1/10/11,7:01:00 AM,NA,-0.03,-0.12
1/10/11,7:01:00 PM,NA,-0.03,-0.12
1/10/11,8:01:00 AM,NA,-0.03,-0.12
1/10/11,8:01:00 PM,NA,-0.03,-0.12
1/10/11,9:01:00 AM,NA,-0.03,-0.12
1/10/11,9:01:00 PM,NA,-0.03,-0.12
1/10/12,1:26:15 AM,1.25,1.02,0.58
1/10/12,1:26:15 PM,1.57,1.33,0.74
1/10/12,1:56:15 AM,1.25,1.02,0.58
1/10/12,1:56:15 PM,1.57,1.33,0.74
1/10/12,10:26:15 AM,1.09,1.02,0.58
1/10/12,10:26:15 PM,0.61,-0.1,-0.05
1/10/12,10:56:15 AM,1.25,1.02,0.74
1/10/12,10:56:15 PM,0.45,-0.1,-0.05
1/10/12,11:26:15 AM,1.41,1.18,0.74
1/10/12,11:26:15 PM,0.45,-0.1,-0.05
1/10/12,11:56:15 AM,1.41,1.33,0.74
1/10/12,11:56:15 PM,0.45,-0.1,-0.05
1/10/12,12:26:15 AM,1.09,0.86,0.42
1/10/12,12:26:15 PM,1.57,1.33,0.74
1/10/12,12:56:15 AM,1.09,0.86,0.58
1/10/12,12:56:15 PM,1.57,1.33,0.74
1/10/12,2:26:15 AM,1.41,1.02,0.58
1/10/12,2:26:15 PM,1.57,1.33,0.74
1/10/12,2:56:15 AM,1.41,1.18,0.74
1/10/12,2:56:15 PM,1.41,1.18,0.74
1/10/12,3:26:15 AM,1.25,1.18,0.74
1/10/12,3:26:15 PM,1.25,1.18,0.74
1/10/12,3:56:15 AM,1.25,1.18,0.74
1/10/12,3:56:15 PM,1.09,1.02,0.58
1/10/12,4:26:15 AM,1.25,1.18,0.74
1/10/12,4:26:15 PM,1.09,0.86,0.58
1/10/12,4:56:15 AM,1.25,1.18,0.74
1/10/12,4:56:15 PM,0.93,0.69,0.58
1/10/12,5:26:15 AM,1.25,1.18,0.74
1/10/12,5:26:15 PM,0.93,0.53,0.58
1/10/12,5:56:15 AM,1.25,1.18,0.74
1/10/12,5:56:15 PM,0.93,0.53,0.42
1/10/12,6:26:15 AM,1.25,1.18,0.74
1/10/12,6:26:15 PM,0.77,0.53,0.42
1/10/12,6:56:15 AM,1.25,1.18,0.74
1/10/12,6:56:15 PM,0.77,0.37,0.26
1/10/12,7:26:15 AM,1.25,1.18,0.74
1/10/12,7:26:15 PM,0.77,0.21,0.26
1/10/12,7:56:15 AM,1.09,1.02,0.74
1/10/12,7:56:15 PM,0.77,0.21,0.1
1/10/12,8:26:15 AM,1.09,1.02,0.74
1/10/12,8:26:15 PM,0.77,0.21,0.1
1/10/12,8:56:15 AM,1.09,0.86,0.74
1/10/12,8:56:15 PM,0.61,0.05,-0.05
1/10/12,9:26:15 AM,1.09,0.86,0.58
1/10/12,9:26:15 PM,0.61,0.05,-0.05
1/10/12,9:56:15 AM,1.09,0.86,0.58
1/10/12,9:56:15 PM,0.61,-0.1,-0.05
1/10/13,1:13:31 AM,1.02,0.69,0.27
1/10/13,1:13:31 PM,1.18,0.93,0.66
1/10/13,1:43:31 AM,1.02,0.72,0.3
1/10/13,1:43:31 PM,1.15,0.99,0.69
1/10/13,10:13:31 AM,0.99,0.36,0.5
1/10/13,10:13:31 PM,0.72,0.83,0.5
1/10/13,10:43:31 AM,1.02,0.41,0.52
1/10/13,10:43:31 PM,0.74,0.83,0.5
1/10/13,11:13:31 AM,1.07,0.52,0.55
1/10/13,11:13:31 PM,0.77,0.85,0.47
1/10/13,11:43:31 AM,1.1,0.66,0.58
1/10/13,11:43:31 PM,0.77,0.85,0.47
1/10/13,12:13:31 AM,1.04,0.69,0.3
1/10/13,12:13:31 PM,1.13,0.74,0.61
1/10/13,12:43:31 AM,1.04,0.72,0.27
1/10/13,12:43:31 PM,1.15,0.85,0.63
1/10/13,2:13:31 AM,1.02,0.72,0.3
1/10/13,2:13:31 PM,1.15,1.02,0.72
1/10/13,2:43:31 AM,0.99,0.69,0.33
1/10/13,2:43:31 PM,1.15,1.04,0.74
1/10/13,3:13:31 AM,0.99,0.66,0.36
1/10/13,3:13:31 PM,1.15,1.07,0.74
